state_ut,population_2011,sex_ratio
Uttar Pradesh,199281477,908
Maharashtra,112372972,946
Bihar,103804637,916
West Bengal,91347736,947
Madhya Pradesh,72597565,931
Tamil Nadu,72138958,995
Rajasthan,68621012,926
Karnataka,61130704,968
Gujarat,60383628,918
Andhra Pradesh,49386799,993
Odisha,41947358,978
Telangana,35286757,988
Kerala,33387677,"1,084"
Jharkhand,32966238,947
Assam,31169272,954
Punjab,27704236,893
Chhattisgarh,25540196,991
Haryana,25353081,877
Jammu & Kashmir,12548926,883
Uttarakhand,10116752,963
Himachal Pradesh,6864602,974
Tripura,3671032,961
Meghalaya,2964007,986
Manipur,2721756,987
Nagaland,1980602,931
Goa,1457723,968
Arunachal Pradesh,1382611,920
Mizoram,1091014,975
Sikkim,607688,889
NCT of Delhi,16753235,866
Puducherry,1244464,"1,038"
Chandigarh,1054686,818
Andaman & Nicobar Islands,379944,878
Dadra & Nagar Haveli,342853,775
Daman & Diu,242911,618
Lakshadweep,64429,946